Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Magdalena Balazinska,Magdalena,Balazinska,University of Washington,,Editor in Chief,United States,
Xiaofang Zhou,Xiaofang,Zhou,University of Queensland,,Editor in Chief,Australia,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Managing Editor,Germany,https://orcid.org/0000-0001-8107-2775
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,Canada,https://orcid.org/0000-0002-8126-1717
Juliana Freire,Juliana,Freire,New York University,,Member Advisory Board,United States,https://orcid.org/0000-0003-3915-7075
Xin Luna Dong,Xin Luna,Dong,Amazon,,Member Advisory Board,United States,
Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica,,Member Advisory Board,Netherlands,
Lei Chen,Lei,Chen,Hong Kong University of Science and Technology,,Member Advisory Board,Hong Kong SAR,
Graham Cormode,Graham,Cormode,University of Warwick,,Member Advisory Board,United Kingdom,https://orcid.org/0000-0002-0698-0922
Xiaofang Zhou,Xiaofang,Zhou,University of Queensland,,Member Advisory Board,Australia,
Magdalena Balazinska,Magdalena,Balazinska,University of Washington,,Member Advisory Board,United States,
Fatma Ozcan,Fatma,Ozcan,IBM Research,Almaden,Member Advisory Board,United States,
Felix Naumann,Felix,Naumann,Hasso Plattner Institute,,Member Advisory Board,Germany,https://orcid.org/0000-0002-4483-1389
Peter Triantafillou,Peter,Triantafillou,University of Warwick,,Member Advisory Board,United Kingdom,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Member Advisory Board,Germany,https://orcid.org/0000-0001-8107-2775
Hiroaki Shiokawa,Hiroaki,Shiokawa,University of Tsukuba,,Publication Editor,Japan,
Sen Wang,Sen,Wang,University of Queensland,,Publication Editor,Australia,
Azza Abouzied,Azza,Abouzied,New York University,Abu Dhabi,Associate Editor,United Arab Emirates,
