Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Tamer Ozsu, University of Waterloo, Canada",M. Tamer,Özsu,University of Waterloo,Waterloo,Honorary Chair,Canada,https://orcid.org/0000-0002-8126-1717
"Adnan Yazici, METU, Turkey",Adnan,Yazici,Middle East Technical University,Ankara,General Co-Chairs,Turkey,https://orcid.org/0000-0001-9404-9494
"Ling Liu, Georgia Tech, USA",Ling,Liu,Georgia Institute of Technology,Atlanta,General Co-Chairs,United States,
"Z. Meral Ozsoyoglu, Case Western Reserve University, USA",Z. Meral,Ozsoyoglu,Case Western Reserve University,Cleveland,General PC Chair,United States,
"Ugur Cetintemel, Brown University, USA",Ugur,Cetintemel,Brown University,Providence,Research Track PC Co-Chairs,United States,
"Nilesh Dalvi, Yahoo Research",Nilesh,Dalvi,Yahoo Research,?,Research Track PC Co-Chairs,United States,
"Hank Korth, Lehigh University, USA",Hank,Korth,Lehigh University,Bethlehem,Research Track PC Co-Chairs,United States,
"Anthony Tung, National University of Singapore, Singapore.",Anthony K. H.,Tung,National University of Singapore,Singapore,Research Track PC Co-Chairs,Singapore,https://orcid.org/0000-0002-5125-855X
"Gustavo Alonso, ETH, Switzerland",Gustavo,Alonso,ETH Zurich,Zurich,Experiments and Analysis Track PC Co-Chairs,Switzerland,
"Juliana Freire, NYU Poly, USA",Juliana,Freire,New York University Tandon School of Engineering,New York City,Experiments and Analysis Track PC Co-Chairs,United States,https://orcid.org/0000-0003-3915-7075
"Alon Halevy, Google",Alon,Halevy,Google,Mountain View,Industrial and Applications Track PC Co-Chairs,United States,
"Vivek Narasayya, Microsoft Research",Vivek,Narasayya,Microsoft Research,Redmond,Industrial and Applications Track PC Co-Chairs,United States,
"Fatma Ozcan, IBM",Fatma,Özcan,IBM Research,Almaden,Industrial and Applications Track PC Co-Chairs,United States,
"Surajit Chaudhuri, Microsoft Research",Surajit,Chaudhuri,Microsoft Research,Redmond,VLDB Endowment Liaison,United States,
"Ahmet Sacan, Drexel University, USA",Ahmet,Sacan,Drexel University,Philadelphia,Proceedings Co-Chair,United States,
"Nesime Tatbul, ETH, Switzerland",Nesime,Tatbul,ETH Zurich,Zurich,Proceedings Co-Chair,Switzerland,
"K. Selcuk Candan, Arizona State, USA",K. Selçuk,Candan,Arizona State University,Tempe,Panel Program Co-Chairs,United States,https://orcid.org/0000-0003-4977-6646
"Panos K, Chrysanthis, University of Pittsburgh, USA",Panos K,Chrysanthis,University of Pittsburgh,Pittsburgh,Panel Program Co-Chairs,United States,https://orcid.org/0000-0001-7189-9816
"Daniel A Keim, University of Konstanz, Germany",Daniel A,Keim,University of Konstanz,Konstanz,Panel Program Co-Chairs,Germany,https://orcid.org/0000-0001-7966-9740
"Chung Chin Wan, KAIST, South Korea",Chung Chin,Wan,Korea Advanced Institute of Science and Technology,Daejeon,Tutorial Program Co-Chairs,South Korea,
"Bugra Gedik, IBM TJ Watson, USA",Bugra,Gedik,IBM Research,? Watson Research Center in News York und Massachusetts,Tutorial Program Co-Chairs,United States,https://orcid.org/0000-0002-0622-1141
"Ken Salem, University of Waterloo, Canada",Kenneth,Salem,University of Waterloo,Waterloo,Tutorial Program Co-Chairs,Canada,
"Hakan Ferhatosmanoglu, OSU, USA",Hakan,Ferhatosmanoglu,Ohio State University,Columbus,Workshop Program Co-Chairs,United States,
"James Joshi, University of Pittsburgh, USA",James,Joshi,University of Pittsburgh,Pittsburgh,Workshop Program Co-Chairs,United States,https://orcid.org/0000-0003-4519-9802
"Andreas Wombacher, Twente University, The Netherlands",Andreas,Wombacher,University of Twente,Enschede,Workshop Program Co-Chairs,Netherlands,
"Lukasz Golab, University of Waterloo, Canada",Lukasz,Golab,University of Waterloo,Waterloo,Demo Program Co-Chairs,Canada,https://orcid.org/0000-0003-0632-7496
"Evaggelia Pitoura, University of Ioannina, Greece",Evaggelia,Pitoura,University of Ioannina,Ioannina,Demo Program Co-Chairs,Greece,https://orcid.org/0000-0002-3775-4995
"Ozgur Ulusoy, Bilkent University, Turkey",Ozgur,Ulusoy,Bilkent University,Ankara,Demo Program Co-Chairs,Turkey,
"Ioana Manolescu, INRIA, France",Ioana,Manolescu,INRIA,Saclay,PhD Program Co-Chairs,France,https://orcid.org/0000-0002-0425-2462
"Jeffery Xu Yu, Chinese University of Hong Kong",Jeffery Xu,Yu,Chinese University of Hong Kong,Hong Kong,PhD Program Co-Chairs,China,
"Murat Kantarcioglu, University of Texas at Dallas, USA",Murat,Kantarcioglu,University of Texas,Dallas,PhD Program Co-Chairs,United States,https://orcid.org/0000-0001-9795-9063
"Jiawei Han, University of Illinois at Urbana-Champaign, USA",Jiawei,Han,University of Illinois,Urbana-Champaign,Geographical Area Coordinators (Americas),United States,
"Wang Shan, People's Univ of China, China",Wang,Shan,Renmin University of China,Beijing,Geographical Area Coordinators (Asia-Pacific),China,
"Gunter Saake, Otto-von-Guericke-University Magdeburg, Germany",Gunter,Saake,Otto von Guericke University Magdeburg,Magdeburg,Geographical Area Coordinators (Europe),Germany,https://orcid.org/0000-0001-9576-8474
"Ghassan Z. Qadah, American University of Sharjah, UAE",Ghassan Z.,Qadah,American University of Sharjah,Sharjeh,Geographical Area Coordinators (Mideast and Africa),United Arab Emirates,
"Esref Adali, ITÜ, Turkey",Esref,Adali,Istanbul Technical University,Istanbul,Sponsor Chairs,Turkey,
"Sam Madden, MIT, USA",Samuel,Madden,Massachusetts Institute of Technology,Cambridge,Sponsor Chairs,United States,
"Patrick Valduriez, INRIA, France",Patrick,Valduriez,INRIA,Sophia Antipolis,Sponsor Chairs,France,https://orcid.org/0000-0001-6506-7538
"Ramazan Savas Aygün, University of Alabama in Huntsville, USA",Ramazan Savas,Aygün,University of Alabama,Huntsville,Publicity Chair,United States,https://orcid.org/0000-0001-7244-7475
"Ismail Hakki Toroslu, METU, Turkey",Ismail Hakki,Toroslu,Middle East Technical University,Ankara,Treasurer,Turkey,https://orcid.org/0000-0002-4524-8232
"Pinar Senkul, METU, Turkey",Pinar,Senkul,Middle East Technical University,Ankara,Registration Chair,Turkey,https://orcid.org/0000-0003-1366-8395
"Sertan Girgin, Google, France",Sertan,Girgin,Google,Paris,Web Management,France,
"I. Hakki Toroslu, METU, Turkey (co-chair)",I. Hakki,Toroslu,Middle East Technical University,Ankara,Local Arrangements,Turkey,https://orcid.org/0000-0002-4524-8232
"Yucel Saygin, Sabanci University, Turkey (co-chair)",Yucel,Saygin,Sabanci University,Istanbul,Local Arrangements,Turkey,https://orcid.org/0000-0001-9243-7776
"Sule Oguducu, ITÜ, Turkey",Sule,Oguducu,Istanbul Technical University,Istanbul,Local Arrangements,Turkey,
"Ahmet Cosar, METU, Turkey",Ahmet,Cosar,Middle East Technical University,Ankara,Local Arrangements,Turkey,https://orcid.org/0000-0002-3090-2254
"Murat Koyuncu, Atilim University, Turkey",Murat,Koyuncu,Atilim University,Ankara,Local Arrangements,Turkey,https://orcid.org/0000-0003-1958-5945
"Mustafa Sert, Baskent University, Turkey",Mustafa,Sert,Baskent University,Ankara,Local Arrangements,Turkey,
"Ibrahim Gökçen, GE Global Operations",Ibrahim,Gökçen,General Electric,Istanbul,Local Arrangements,Turkey,
"Murat Ali Bayir, Google, USA",Murat Ali,Bayir,Google,New York City,PhD Workshop PC Members,United States,
"Daniele Braga, Politecnico di Milano, Italy",Daniele,Braga,Polytechnic University of Milan,Milano,PhD Workshop PC Members,Italy,https://orcid.org/0000-0002-1626-3628
"Selcuk Candan, Arizona State University, USA",Selcuk,Candan,Arizona State University,Tempe,PhD Workshop PC Members,United States,https://orcid.org/0000-0003-4977-6646
"Mustafa Canim, IBM Research, USA",Mustafa,Canim,IBM Research,? Watson Research Center in News York und Massachusetts,PhD Workshop PC Members,United States,
"Bogdan Cautis, Telecom ParisTech, France",Bogdan,Cautis,Télécom Paris,Palaiseau,PhD Workshop PC Members,France,https://orcid.org/0000-0003-3497-042X
"Lijun Chang, Chinese University of Hong Kong, China",Lijun,Chang,Chinese University of Hong Kong,Hong Kong,PhD Workshop PC Members,China,
"Peter Christen, Australian National University, Australia",Peter,Christen,Australian National University,Canberra,PhD Workshop PC Members,Australia,
"Jun Gao, Peking University, China",Jun,Gao,Peking University,Bejing,PhD Workshop PC Members,China,
"Bingsheng He, Nanyang Technological University, Singapore",Bingsheng,He,Nanyang Technological University,Singapore,PhD Workshop PC Members,Singapore,
"Melanie Herschel, Universite de Paris Sud, France",Melanie,Herschel,Paris-Sud University,?,PhD Workshop PC Members,Feance,
"Yoshiharu Ishikawa, Nagoya University, Japan",Yoshiharu,Ishikawa,Nagoya University,Nagoya,PhD Workshop PC Members,Japan,
"Zoi Kaoudi, INRIA Saclay, France",Zoi,Kaoudi,INRIA,Saclay,PhD Workshop PC Members,France,
"Latifur Khan, University of Texas at Dallas, USA",Latifur,Khan,University of Texas,Dallas,PhD Workshop PC Members,United States,https://orcid.org/0000-0002-9300-1576
"Yannis Katsis, University of California at San Diego, USA",Yannis,Katsis,University of California,San Diego,PhD Workshop PC Members,United States,
"Adam Lee, University of Pittsburgh, USA",Adam,Lee,University of Pittsburgh,Pittsburgh,PhD Workshop PC Members,United States,
"Eric Lo, Hong Kong Polytechnic University, China",Eric,Lo,Hong Kong Polytechnic University,Hong Kong,PhD Workshop PC Members,Hong Kong SAR,
"Sharad Mehrotra, University of California at Irvine, USA",Sharad,Mehrotra,University of California,Irvine,PhD Workshop PC Members,United States,
"Mohamed Mokbel, University of Minnesota, USA",Mohamed F.,Mokbel,University of Minnesota,Minneapolis,PhD Workshop PC Members,United States,https://orcid.org/0000-0002-6686-1757
"Benjamin Nguyen, Universite de Versailles Saint-Quentin, France",Benjamin,Nguyen,University of Versailles Saint-Quentin-en-Yvelines,Versailles,PhD Workshop PC Members,France,
"Shaoxu Song, Tsinghua University, China",Shaoxu,Song,Tsinghua University,Beijing,PhD Workshop PC Members,China,https://orcid.org/0000-0002-9503-2755
"Jaideep Vaidya, Rutgers University, USA",Jaideep,Vaidya,Rutgers University,New Brunswick,PhD Workshop PC Members,United States,https://orcid.org/0000-0002-7420-6947
"Li Xiong, Emory University, USA",Li,Xiong,Emory University,Atlanta,PhD Workshop PC Members,United States,
"Wenjie Zhang, University of New South Wales, Australia",Wenjie,Zhang,University of New South Wales,Sydney,PhD Workshop PC Members,Australia,
"Sibel Adali, Rensselaer Polytechnic Institute, USA",Sibel,Adali,Rensselaer Polytechnic Institute,Troy,Demo Program Committee Members,United States,
"Ismail Sengor Altingovde, L3S Research Center, Hannover, Germany",Ismail Sengor,Altingovde,L3S Research Center,Hannover,Demo Program Committee Members,Germany,https://orcid.org/0000-0002-9764-2071
"Arvind Arasu, Microsoft Research, USA",Arvind,Arasu,Microsoft Research,Redmond,Demo Program Committee Members,United States,
"Wolf-Tilo Balke, University of Hannover, Germany",Wolf-Tilo,Balke,University of Hannover,Hannover,Demo Program Committee Members,Germany,https://orcid.org/0000-0002-5443-1215
"Muhammet Bastan, IUPR, University of Kaiserslautern, Germany",Muhammet,Bastan,University of Kaiserslautern,Kaiserslautern,Demo Program Committee Members,Germany,https://orcid.org/0000-0001-9714-2643
"Sourav Bhowmick, Nanyang Technological University, Singapore",Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Demo Program Committee Members,Singapore,
"Angela Bonifati, Icar-CNR, Italy",Angela,Bonifati,University of Lille 1 Sciences and Technology,Lille,Demo Program Committee Members,France,https://orcid.org/0000-0002-9582-869X
"Badrish Chandramouli, Microsoft Research, USA",Badrish,Chandramouli,Microsoft Research,Redmond,Demo Program Committee Members,United States,
"Khuzaima Daudjee, University of Waterloo, Canada",Khuzaima,Daudjee,University of Waterloo,Waterloo,Demo Program Committee Members,Canada,
"Erdogan Dogdu, TOBB University of Economics and Technology, Turkey",Erdogan,Dogdu,TOBB University of Economics and Technology,Ankara,Demo Program Committee Members,Turkey,https://orcid.org/0000-0001-5987-0164
"Tingjian Ge, University of Kentucky, USA",Tingjian,Ge,University of Kentucky,Lexington,Demo Program Committee Members,United States,
"Marios Hadjieleftheriou, AT&T,USA",Marios,Hadjieleftheriou,AT&T Labs,?,Demo Program Committee Members,United States,
